"Gender","Profession","Work_Experience","Spending_Score","Family_Size","Var_1","Segmentation","ageRanked","age_dRanked_Bins","IsGraduated","EverMarriedTRUE"
"Male","Healthcare","1","Low","3","Cat_2","D","1","18-25",FALSE,FALSE
"Female","Lawyer","1","High","2","Cat_6","D","10","68-89",FALSE,TRUE
"Female","Healthcare","3","Low","4","Cat_1","D","2","25-29",TRUE,FALSE
"Male","Doctor","5","Low","1","Cat_4","D","3","29-33",FALSE,FALSE
"Female","Healthcare","1","Average","5","Cat_3","D","2","25-29",FALSE,TRUE
"Female","Artist","8","Low","2","Cat_6","A","2","25-29",TRUE,TRUE
"Female","Artist","4","Low","1","Cat_6","B","7","45-50",TRUE,FALSE
"Female","Healthcare","0","Low","2","Cat_6","D","1","18-25",FALSE,FALSE
"Female","Artist","14","Low","3","Cat_6","A","2","25-29",TRUE,FALSE
"Male","Engineer","8","Low","1","Cat_6","A","5","37-41",FALSE,TRUE
"Male","Artist","0","Average","4","Cat_4","B","5","37-41",TRUE,TRUE
"Male","Healthcare","0","Low","4","Cat_6","D","1","18-25",FALSE,FALSE
"Female","Engineer","1","Low","1","Cat_6","A","6","41-45",TRUE,FALSE
"Female","Artist","1","Average","2","Cat_2","B","9","57-68",FALSE,TRUE
"Female","Artist","1","Average","2","Cat_6","C","4","33-37",TRUE,TRUE
"Male","Artist","1","Low","1","Cat_3","A","5","37-41",TRUE,TRUE
"Female","Entertainment","0","Average","2","Cat_6","C","8","50-57",TRUE,TRUE
"Male","Marketing","1","Low","1","Cat_4","A","10","68-89",FALSE,TRUE
"Male","Artist","14","Average","2","Cat_6","B","3","29-33",TRUE,TRUE
"Male","Healthcare","9","Low","4","Cat_6","D","1","18-25",TRUE,FALSE
"Female","Artist","1","Average","3","Cat_3","C","6","41-45",TRUE,TRUE
"Male","Artist","0","Average","2","Cat_6","C","7","45-50",TRUE,TRUE
"Male","Artist","9","Average","2","Cat_1","C","8","50-57",TRUE,TRUE
"Male","Lawyer","0","High","3","Cat_6","D","10","68-89",TRUE,TRUE
"Male","Lawyer","1","High","2","Cat_6","A","8","50-57",TRUE,TRUE
"Male","Lawyer","7","High","2","Cat_6","A","9","57-68",TRUE,TRUE
"Male","Entertainment","0","Low","2","Cat_6","A","1","18-25",TRUE,FALSE
"Male","Doctor","0","Average","2","Cat_6","A","3","29-33",TRUE,TRUE
"Male","Artist","8","Low","4","Cat_6","A","2","25-29",FALSE,FALSE
"Male","Artist","0","Average","4","Cat_6","B","8","50-57",TRUE,TRUE
"Male","Healthcare","8","Low","2","Cat_6","D","2","25-29",TRUE,TRUE
"Female","Entertainment","8","Average","2","Cat_6","A","8","50-57",TRUE,TRUE
"Female","Artist","0","Average","5","Cat_6","B","7","45-50",FALSE,TRUE
"Female","Healthcare","8","Low","4","Cat_6","D","3","29-33",FALSE,FALSE
"Male","Artist","0","Average","4","Cat_6","C","8","50-57",TRUE,TRUE
"Female","Homemaker","0","Low","3","Cat_6","B","3","29-33",FALSE,FALSE
"Female","Doctor","0","Low","2","Cat_6","D","4","33-37",TRUE,FALSE
"Male","Artist","4","Low","3","Cat_4","A","8","50-57",FALSE,TRUE
"Male","Engineer","2","Average","2","Cat_6","C","6","41-45",TRUE,TRUE
"Male","Healthcare","0","Low","4","Cat_6","C","3","29-33",FALSE,FALSE
"Female","Healthcare","6","Low","3","Cat_5","D","2","25-29",FALSE,FALSE
"Male","Artist","8","Low","1","Cat_6","A","9","57-68",TRUE,TRUE
"Male","Entertainment","8","Average","4","Cat_3","B","4","33-37",FALSE,TRUE
"Female","Marketing","1","Low","3","Cat_4","A","1","18-25",FALSE,FALSE
"Male","Healthcare","7","Low","5","Cat_6","D","3","29-33",FALSE,FALSE
"Male","Artist","0","Average","3","Cat_6","C","8","50-57",TRUE,TRUE
"Female","Artist","5","Low","2","Cat_6","C","4","33-37",TRUE,TRUE
"Female","Entertainment","7","Low","3","Cat_4","D","6","41-45",FALSE,FALSE
"Male","Doctor","0","Average","2","Cat_3","D","5","37-41",FALSE,TRUE
"Male","Entertainment","0","Low","3","Cat_1","B","5","37-41",TRUE,FALSE
"Female","Artist","1","Average","4","Cat_3","C","7","45-50",TRUE,TRUE
"Female","Artist","1","High","2","Cat_6","C","9","57-68",TRUE,TRUE
"Male","Entertainment","1","Low","2","Cat_3","D","3","29-33",FALSE,TRUE
"Male","Artist","0","Low","1","Cat_6","B","8","50-57",FALSE,TRUE
"Female","Artist","0","Low","1","Cat_6","D","5","37-41",TRUE,FALSE
"Male","Artist","0","High","2","Cat_6","C","9","57-68",TRUE,TRUE
"Male","Doctor","1","Average","2","Cat_6","C","9","57-68",TRUE,TRUE
"Male","Engineer","3","Average","3","Cat_4","D","3","29-33",FALSE,TRUE
"Male","Artist","0","Average","4","Cat_6","C","9","57-68",TRUE,TRUE
"Male","Executive","1","High","7","Cat_6","B","9","57-68",FALSE,TRUE
"Male","Artist","0","Low","3","Cat_4","A","8","50-57",FALSE,TRUE
"Male","Executive","0","High","5","Cat_6","A","5","37-41",FALSE,TRUE
"Female","Healthcare","10","Low","2","Cat_6","B","4","33-37",TRUE,TRUE
"Male","Doctor","1","Low","2","Cat_6","D","1","18-25",FALSE,FALSE
"Male","Homemaker","3","Low","2","Cat_1","D","3","29-33",TRUE,TRUE
"Male","Lawyer","1","Low","1","Cat_6","D","10","68-89",FALSE,FALSE
"Male","Healthcare","9","Low","3","Cat_6","D","1","18-25",FALSE,FALSE
"Female","Artist","0","Low","1","Cat_6","A","5","37-41",TRUE,FALSE
"Male","Artist","1","Low","1","Cat_6","C","7","45-50",TRUE,FALSE
"Male","Executive","0","High","3","Cat_6","D","6","41-45",TRUE,TRUE
"Male","Executive","8","Average","4","Cat_1","B","4","33-37",FALSE,TRUE
"Male","Lawyer","1","Low","1","Cat_6","D","10","68-89",FALSE,TRUE
"Male","Artist","0","Low","2","Cat_2","C","4","33-37",TRUE,FALSE
"Female","Artist","1","High","2","Cat_7","A","4","33-37",TRUE,TRUE
"Male","Executive","0","High","3","Cat_6","C","7","45-50",TRUE,TRUE
"Male","Executive","1","High","4","Cat_3","B","8","50-57",FALSE,TRUE
"Female","Engineer","9","Average","4","Cat_4","B","7","45-50",FALSE,TRUE
"Female","Healthcare","1","Low","3","Cat_3","D","2","25-29",TRUE,FALSE
"Male","Entertainment","9","Low","2","Cat_3","D","5","37-41",FALSE,TRUE
"Female","Marketing","1","Low","2","Cat_6","A","2","25-29",FALSE,TRUE
"Male","Artist","0","Average","2","Cat_6","C","10","68-89",TRUE,TRUE
"Female","Engineer","0","Low","2","Cat_6","A","2","25-29",TRUE,TRUE
"Male","Entertainment","8","Low","5","Cat_6","C","4","33-37",TRUE,FALSE
"Male","Executive","9","High","5","Cat_2","A","5","37-41",TRUE,TRUE
"Female","Lawyer","0","High","2","Cat_6","C","10","68-89",TRUE,TRUE
"Male","Healthcare","6","Low","4","Cat_4","D","1","18-25",FALSE,FALSE
"Female","Engineer","1","High","2","Cat_4","B","7","45-50",TRUE,TRUE
"Male","Executive","5","Low","5","Cat_6","A","3","29-33",FALSE,FALSE
"Female","Artist","3","Low","4","Cat_6","D","5","37-41",TRUE,FALSE
"Female","Marketing","8","Low","4","Cat_6","D","2","25-29",FALSE,FALSE
"Female","Artist","4","Low","4","Cat_5","B","4","33-37",TRUE,TRUE
"Female","Engineer","0","Average","2","Cat_6","A","5","37-41",TRUE,TRUE
"Female","Artist","0","Average","5","Cat_7","C","7","45-50",TRUE,TRUE
"Female","Doctor","0","Low","3","Cat_6","C","3","29-33",TRUE,FALSE
"Female","Engineer","0","Average","5","Cat_4","B","6","41-45",FALSE,TRUE
"Male","Marketing","8","Low","5","Cat_6","C","2","25-29",FALSE,FALSE
"Female","Engineer","9","Average","2","Cat_4","A","2","25-29",FALSE,TRUE
"Male","Lawyer","1","Low","1","Cat_6","B","10","68-89",TRUE,TRUE
"Female","Healthcare","7","Low","4","Cat_6","D","2","25-29",TRUE,FALSE
"Male","Artist","6","Average","3","Cat_6","C","10","68-89",TRUE,TRUE
"Male","Lawyer","0","High","9","Cat_4","A","9","57-68",FALSE,TRUE
"Female","Engineer","0","Low","1","Cat_2","A","2","25-29",FALSE,FALSE
"Female","Engineer","0","Average","2","Cat_6","C","7","45-50",TRUE,TRUE
"Female","Artist","2","Average","2","Cat_6","B","6","41-45",TRUE,TRUE
"Female","Healthcare","0","Low","4","Cat_6","C","2","25-29",TRUE,FALSE
"Female","Marketing","8","Low","4","Cat_6","D","6","41-45",TRUE,TRUE
"Male","Executive","1","Low","1","Cat_6","C","10","68-89",FALSE,TRUE
"Female","Artist","3","Average","4","Cat_6","C","6","41-45",TRUE,TRUE
"Female","Lawyer","1","High","2","Cat_6","B","10","68-89",TRUE,TRUE
"Male","Artist","3","Average","3","Cat_6","C","4","33-37",TRUE,TRUE
"Female","Artist","1","Low","1","Cat_6","C","7","45-50",TRUE,FALSE
"Female","Healthcare","1","Low","5","Cat_6","D","1","18-25",TRUE,FALSE
"Male","Executive","0","Average","5","Cat_6","A","4","33-37",FALSE,TRUE
"Male","Doctor","0","Average","2","Cat_6","C","9","57-68",TRUE,TRUE
"Female","Artist","5","Average","3","Cat_6","C","6","41-45",TRUE,TRUE
"Female","Homemaker","9","Average","3","Cat_6","C","7","45-50",TRUE,TRUE
"Male","Artist","0","Low","5","Cat_6","D","3","29-33",TRUE,FALSE
"Female","Artist","0","Low","3","Cat_3","B","5","37-41",TRUE,TRUE
"Male","Artist","2","Average","2","Cat_4","C","9","57-68",FALSE,TRUE
"Male","Artist","3","Low","5","Cat_6","B","7","45-50",TRUE,TRUE
"Male","Executive","0","High","2","Cat_6","C","10","68-89",TRUE,TRUE
"Female","Lawyer","0","Low","2","Cat_6","B","10","68-89",TRUE,TRUE
"Male","Artist","5","Low","2","Cat_6","B","3","29-33",TRUE,FALSE
"Female","Lawyer","0","High","2","Cat_6","C","10","68-89",TRUE,TRUE
"Male","Artist","3","Average","4","Cat_6","C","7","45-50",TRUE,TRUE
"Female","Engineer","11","Low","1","Cat_3","D","1","18-25",FALSE,FALSE
"Female","Healthcare","2","Low","6","Cat_6","D","1","18-25",FALSE,FALSE
"Female","Healthcare","4","Low","3","Cat_6","D","1","18-25",FALSE,FALSE
"Female","Engineer","8","Low","1","Cat_6","A","3","29-33",TRUE,FALSE
"Female","Artist","7","Average","2","Cat_6","C","4","33-37",TRUE,TRUE
"Male","Artist","4","Average","4","Cat_6","C","5","37-41",TRUE,TRUE
"Female","Artist","1","Low","1","Cat_6","A","5","37-41",TRUE,FALSE
"Female","Doctor","1","Low","3","Cat_7","A","1","18-25",FALSE,FALSE
"Female","Engineer","4","Average","2","Cat_6","D","5","37-41",FALSE,TRUE
"Male","Artist","0","Low","2","Cat_6","B","5","37-41",TRUE,TRUE
"Male","Artist","1","Average","3","Cat_6","B","8","50-57",TRUE,TRUE
"Female","Artist","5","Low","2","Cat_6","C","6","41-45",TRUE,TRUE
"Male","Executive","8","Low","2","Cat_6","D","6","41-45",FALSE,TRUE
"Male","Artist","7","Low","2","Cat_6","C","9","57-68",TRUE,TRUE
"Male","Executive","1","Average","3","Cat_6","A","5","37-41",TRUE,TRUE
"Female","Artist","0","Average","2","Cat_6","A","3","29-33",TRUE,TRUE
"Female","Artist","1","High","5","Cat_6","B","7","45-50",TRUE,TRUE
"Male","Executive","1","Low","2","Cat_6","A","9","57-68",TRUE,TRUE
"Male","Artist","4","Average","2","Cat_6","B","4","33-37",FALSE,TRUE
"Female","Healthcare","0","Low","3","Cat_6","C","2","25-29",TRUE,FALSE
"Female","Engineer","6","Average","8","Cat_4","D","1","18-25",FALSE,TRUE
"Female","Healthcare","4","Low","2","Cat_6","A","5","37-41",TRUE,TRUE
"Male","Entertainment","0","Low","2","Cat_6","A","9","57-68",TRUE,TRUE
"Male","Healthcare","8","Low","3","Cat_6","D","1","18-25",FALSE,FALSE
"Female","Healthcare","0","Low","3","Cat_3","D","1","18-25",FALSE,FALSE
"Female","Artist","2","Low","1","Cat_6","C","8","50-57",TRUE,TRUE
"Male","Doctor","0","Low","2","Cat_6","B","3","29-33",TRUE,FALSE
"Female","Engineer","0","Low","2","Cat_4","B","10","68-89",TRUE,TRUE
"Male","Artist","2","Low","1","Cat_6","B","4","33-37",TRUE,FALSE
"Female","Marketing","3","Low","4","Cat_7","C","1","18-25",FALSE,FALSE
"Female","Doctor","1","Average","4","Cat_6","C","7","45-50",TRUE,TRUE
"Male","Healthcare","0","Low","3","Cat_3","D","1","18-25",FALSE,FALSE
"Female","Doctor","0","Average","2","Cat_6","C","8","50-57",TRUE,TRUE
"Male","Engineer","0","Average","2","Cat_6","A","2","25-29",TRUE,TRUE
"Female","Artist","7","Low","3","Cat_6","A","2","25-29",TRUE,FALSE
"Male","Healthcare","0","Low","5","Cat_7","D","1","18-25",FALSE,FALSE
"Female","Homemaker","8","Low","1","Cat_3","D","2","25-29",FALSE,FALSE
"Male","Artist","4","Average","4","Cat_6","B","6","41-45",TRUE,TRUE
"Male","Healthcare","1","Low","4","Cat_4","B","1","18-25",TRUE,FALSE
"Male","Marketing","1","Low","1","Cat_4","D","5","37-41",FALSE,FALSE
"Female","Lawyer","0","High","2","Cat_6","B","9","57-68",TRUE,TRUE
"Female","Artist","9","Low","1","Cat_3","A","5","37-41",TRUE,FALSE
"Male","Healthcare","0","Low","4","Cat_2","C","2","25-29",FALSE,FALSE
"Female","Healthcare","1","Low","5","Cat_7","B","3","29-33",FALSE,FALSE
"Female","Lawyer","1","High","4","Cat_4","B","8","50-57",FALSE,TRUE
"Female","Artist","1","Low","2","Cat_6","C","8","50-57",TRUE,TRUE
"Male","Executive","1","High","5","Cat_6","C","8","50-57",FALSE,TRUE
"Female","Artist","0","Average","3","Cat_6","C","9","57-68",TRUE,TRUE
"Female","Healthcare","1","High","4","Cat_4","A","1","18-25",TRUE,TRUE
"Male","Artist","0","Average","6","Cat_6","C","9","57-68",TRUE,TRUE
"Female","Artist","0","Low","4","Cat_6","C","4","33-37",TRUE,TRUE
"Male","Entertainment","7","Low","2","Cat_6","A","4","33-37",TRUE,TRUE
"Male","Doctor","1","Low","3","Cat_2","D","1","18-25",FALSE,FALSE
"Male","Artist","1","Low","2","Cat_6","B","6","41-45",TRUE,TRUE
"Male","Artist","1","Low","2","Cat_4","A","5","37-41",TRUE,TRUE
"Female","Engineer","0","Low","5","Cat_2","B","1","18-25",FALSE,FALSE
"Male","Doctor","8","Low","1","Cat_2","B","5","37-41",TRUE,FALSE
"Male","Lawyer","1","High","3","Cat_6","C","10","68-89",TRUE,TRUE
"Female","Engineer","1","Low","4","Cat_6","B","3","29-33",FALSE,FALSE
"Female","Lawyer","0","Average","2","Cat_6","A","10","68-89",FALSE,TRUE
"Male","Artist","8","Low","3","Cat_2","A","5","37-41",TRUE,FALSE
"Male","Executive","0","High","4","Cat_6","A","1","18-25",FALSE,TRUE
"Male","Artist","6","Average","3","Cat_6","C","7","45-50",TRUE,TRUE
"Female","Lawyer","1","High","3","Cat_6","D","10","68-89",FALSE,TRUE
"Female","Homemaker","1","Low","7","Cat_4","B","1","18-25",FALSE,FALSE
"Female","Entertainment","2","High","2","Cat_2","D","10","68-89",FALSE,TRUE
"Male","Artist","1","Low","1","Cat_6","B","10","68-89",TRUE,FALSE
"Female","Artist","0","Average","3","Cat_4","C","10","68-89",TRUE,TRUE
"Male","Entertainment","6","Low","6","Cat_4","A","4","33-37",TRUE,TRUE
"Male","Artist","1","Low","2","Cat_6","A","5","37-41",TRUE,TRUE
"Female","Entertainment","0","Low","4","Cat_6","C","2","25-29",TRUE,FALSE
"Female","Doctor","0","Low","3","Cat_6","D","2","25-29",TRUE,FALSE
"Male","Artist","0","Low","2","Cat_4","B","6","41-45",TRUE,TRUE
"Female","Artist","1","Average","2","Cat_6","B","4","33-37",TRUE,TRUE
"Male","Lawyer","1","High","2","Cat_6","B","9","57-68",TRUE,TRUE
"Male","Executive","7","High","4","Cat_4","C","8","50-57",TRUE,TRUE
"Female","Artist","1","Low","1","Cat_6","B","5","37-41",TRUE,FALSE
"Female","Engineer","9","Low","3","Cat_6","A","10","68-89",FALSE,TRUE
"Female","Healthcare","3","Low","3","Cat_6","D","1","18-25",FALSE,FALSE
"Male","Executive","1","Average","4","Cat_6","C","7","45-50",TRUE,TRUE
"Male","Marketing","1","High","2","Cat_3","A","2","25-29",TRUE,TRUE
"Male","Artist","1","Average","3","Cat_3","C","7","45-50",TRUE,TRUE
"Male","Artist","1","Low","2","Cat_6","A","3","29-33",TRUE,FALSE
"Female","Healthcare","0","Low","1","Cat_2","C","5","37-41",TRUE,FALSE
"Male","Artist","0","Low","1","Cat_6","B","9","57-68",TRUE,TRUE
"Female","Entertainment","1","Low","1","Cat_6","D","2","25-29",TRUE,FALSE
"Male","Healthcare","1","Low","2","Cat_3","A","2","25-29",TRUE,FALSE
"Male","Marketing","0","Low","1","Cat_3","D","2","25-29",FALSE,FALSE
"Female","Engineer","1","Average","3","Cat_6","C","8","50-57",TRUE,TRUE
"Male","Doctor","1","Low","3","Cat_6","D","2","25-29",FALSE,FALSE
"Male","Engineer","0","Low","4","Cat_4","D","2","25-29",FALSE,FALSE
"Female","Entertainment","0","Low","2","Cat_6","D","3","29-33",FALSE,FALSE
"Male","Executive","1","High","3","Cat_3","B","5","37-41",TRUE,TRUE
"Female","Engineer","1","Low","3","Cat_7","A","6","41-45",FALSE,TRUE
"Male","Doctor","1","Low","2","Cat_1","A","1","18-25",FALSE,TRUE
"Male","Artist","3","High","3","Cat_6","A","5","37-41",TRUE,TRUE
"Female","Entertainment","7","Average","2","Cat_3","B","5","37-41",TRUE,TRUE
"Male","Healthcare","1","Low","3","Cat_6","D","2","25-29",TRUE,FALSE
"Female","Healthcare","1","Low","2","Cat_6","D","1","18-25",FALSE,FALSE
"Female","Lawyer","0","High","2","Cat_6","B","10","68-89",TRUE,TRUE
"Female","Artist","4","Average","2","Cat_3","C","2","25-29",TRUE,TRUE
"Female","Doctor","0","Average","2","Cat_6","B","10","68-89",FALSE,TRUE
"Female","Engineer","8","Average","4","Cat_4","B","8","50-57",FALSE,TRUE
"Male","Executive","0","High","4","Cat_6","A","6","41-45",FALSE,TRUE
"Male","Doctor","6","Low","3","Cat_6","A","4","33-37",FALSE,TRUE
"Male","Lawyer","0","Low","2","Cat_6","C","10","68-89",TRUE,TRUE
"Female","Homemaker","0","Low","4","Cat_6","D","3","29-33",FALSE,FALSE
"Female","Artist","5","Low","2","Cat_6","B","4","33-37",TRUE,FALSE
"Female","Marketing","0","Low","1","Cat_5","B","1","18-25",FALSE,FALSE
"Male","Healthcare","0","Low","4","Cat_6","D","1","18-25",FALSE,FALSE
"Male","Engineer","4","High","2","Cat_6","B","10","68-89",TRUE,TRUE
"Male","Lawyer","13","Low","1","Cat_6","A","10","68-89",TRUE,TRUE
"Male","Doctor","6","Low","1","Cat_2","D","1","18-25",TRUE,FALSE
"Female","Artist","4","Low","1","Cat_3","A","6","41-45",TRUE,FALSE
"Female","Artist","3","Low","1","Cat_4","A","4","33-37",TRUE,FALSE
"Female","Engineer","7","Low","1","Cat_4","D","4","33-37",FALSE,TRUE
"Female","Engineer","4","Average","2","Cat_6","B","5","37-41",FALSE,TRUE
"Female","Healthcare","1","Low","5","Cat_4","D","3","29-33",TRUE,FALSE
"Female","Artist","2","Average","3","Cat_6","C","9","57-68",TRUE,TRUE
"Female","Engineer","0","Average","4","Cat_4","B","9","57-68",TRUE,TRUE
"Male","Healthcare","0","Low","5","Cat_6","C","1","18-25",FALSE,FALSE
"Female","Artist","0","Average","4","Cat_6","C","8","50-57",TRUE,TRUE
"Female","Entertainment","10","Low","2","Cat_6","A","4","33-37",TRUE,FALSE
"Female","Healthcare","8","Low","3","Cat_6","A","3","29-33",FALSE,FALSE
"Male","Healthcare","1","Low","5","Cat_6","D","1","18-25",FALSE,FALSE
"Male","Healthcare","0","Low","2","Cat_6","A","2","25-29",TRUE,FALSE
"Female","Doctor","14","Low","1","Cat_6","A","5","37-41",TRUE,FALSE
"Male","Artist","8","Average","2","Cat_6","C","7","45-50",TRUE,TRUE
"Male","Artist","3","Low","1","Cat_6","B","2","25-29",TRUE,FALSE
"Male","Entertainment","1","Average","4","Cat_7","B","8","50-57",FALSE,TRUE
"Male","Artist","0","Low","1","Cat_6","A","8","50-57",FALSE,TRUE
"Female","Engineer","1","Low","1","Cat_3","A","10","68-89",TRUE,TRUE
"Female","Healthcare","1","Low","8","Cat_7","C","2","25-29",FALSE,FALSE
"Female","Lawyer","0","Low","3","Cat_6","A","10","68-89",TRUE,TRUE
"Female","Healthcare","9","Low","1","Cat_6","D","5","37-41",TRUE,FALSE
"Male","Artist","9","Low","1","Cat_6","A","4","33-37",TRUE,TRUE
"Male","Marketing","2","High","5","Cat_6","C","1","18-25",FALSE,TRUE
"Female","Healthcare","1","Low","3","Cat_6","B","3","29-33",FALSE,FALSE
"Female","Doctor","0","Low","1","Cat_6","D","2","25-29",FALSE,FALSE
"Male","Engineer","8","Low","1","Cat_6","A","4","33-37",TRUE,FALSE
"Female","Homemaker","0","Low","4","Cat_6","D","1","18-25",FALSE,FALSE
"Male","Marketing","0","Low","5","Cat_6","A","1","18-25",FALSE,FALSE
"Female","Lawyer","1","Average","3","Cat_3","A","1","18-25",TRUE,TRUE
"Male","Healthcare","3","Low","3","Cat_6","D","6","41-45",TRUE,FALSE
"Male","Entertainment","1","Low","2","Cat_4","A","6","41-45",TRUE,FALSE
"Female","Engineer","4","High","3","Cat_6","B","7","45-50",TRUE,TRUE
"Male","Entertainment","1","Low","2","Cat_6","A","1","18-25",TRUE,FALSE
"Male","Artist","1","High","2","Cat_6","B","9","57-68",FALSE,TRUE
"Female","Healthcare","0","Average","2","Cat_6","A","2","25-29",TRUE,TRUE
"Male","Artist","1","Low","1","Cat_6","D","5","37-41",TRUE,FALSE
"Male","Executive","12","Low","3","Cat_6","A","1","18-25",FALSE,FALSE
"Female","Healthcare","9","Low","5","Cat_4","D","1","18-25",FALSE,FALSE
"Male","Entertainment","1","Average","5","Cat_5","C","6","41-45",TRUE,TRUE
"Female","Artist","8","Low","1","Cat_6","B","2","25-29",TRUE,FALSE
"Female","Entertainment","1","Low","2","Cat_6","D","9","57-68",TRUE,FALSE
"Male","Lawyer","2","Low","1","Cat_6","D","10","68-89",TRUE,TRUE
"Male","Doctor","6","Low","4","Cat_2","D","1","18-25",FALSE,FALSE
"Male","Artist","8","Low","1","Cat_6","A","4","33-37",TRUE,FALSE
"Male","Doctor","1","Low","1","Cat_3","C","3","29-33",FALSE,FALSE
"Male","Artist","1","Average","2","Cat_6","C","8","50-57",FALSE,TRUE
"Female","Artist","2","Low","2","Cat_6","C","8","50-57",TRUE,TRUE
"Male","Entertainment","0","Low","1","Cat_6","D","5","37-41",TRUE,TRUE
"Female","Artist","5","Low","1","Cat_6","A","4","33-37",FALSE,FALSE
"Male","Engineer","0","Average","2","Cat_6","B","3","29-33",FALSE,TRUE
"Female","Artist","0","Low","6","Cat_6","A","1","18-25",TRUE,FALSE
"Female","Artist","0","Average","2","Cat_4","B","2","25-29",TRUE,TRUE
"Male","Artist","1","High","3","Cat_6","A","4","33-37",TRUE,TRUE
"Female","Artist","1","Average","2","Cat_6","C","5","37-41",TRUE,TRUE
"Female","Artist","8","Average","2","Cat_6","B","7","45-50",FALSE,TRUE
"Female","Artist","9","Low","1","Cat_6","A","2","25-29",TRUE,FALSE
"Male","Doctor","13","High","2","Cat_6","B","6","41-45",TRUE,TRUE
"Female","Artist","8","Low","4","Cat_6","A","3","29-33",TRUE,TRUE
"Female","Artist","1","Average","4","Cat_6","C","10","68-89",TRUE,TRUE
"Female","Lawyer","3","High","1","Cat_6","D","10","68-89",FALSE,TRUE
"Female","Homemaker","6","High","4","Cat_6","B","6","41-45",FALSE,TRUE
"Female","Entertainment","6","Average","3","Cat_4","A","4","33-37",TRUE,TRUE
"Male","Executive","1","Average","3","Cat_6","D","3","29-33",FALSE,TRUE
"Female","Artist","1","High","2","Cat_6","C","9","57-68",TRUE,TRUE
"Female","Engineer","1","Low","1","Cat_4","D","1","18-25",FALSE,FALSE
"Female","Doctor","0","Low","2","Cat_6","C","7","45-50",TRUE,TRUE
"Female","Doctor","1","Average","3","Cat_1","C","8","50-57",TRUE,TRUE
"Female","Engineer","1","High","5","Cat_2","B","5","37-41",TRUE,TRUE
"Male","Artist","0","Average","6","Cat_7","B","7","45-50",TRUE,TRUE
"Male","Executive","1","Average","4","Cat_6","C","4","33-37",TRUE,TRUE
"Female","Healthcare","2","Low","3","Cat_6","D","1","18-25",FALSE,FALSE
"Male","Entertainment","0","Average","3","Cat_4","B","7","45-50",TRUE,TRUE
"Male","Lawyer","0","Low","1","Cat_6","B","10","68-89",TRUE,TRUE
"Male","Artist","0","High","2","Cat_6","B","9","57-68",TRUE,TRUE
"Male","Marketing","1","Low","5","Cat_4","D","6","41-45",FALSE,FALSE
"Female","Lawyer","1","High","2","Cat_6","B","10","68-89",TRUE,TRUE
"Male","Engineer","1","Low","1","Cat_6","A","10","68-89",FALSE,TRUE
"Male","Artist","0","Low","3","Cat_6","B","8","50-57",TRUE,TRUE
"Female","Artist","8","Average","2","Cat_6","C","5","37-41",TRUE,TRUE
"Female","Homemaker","9","Low","1","Cat_6","D","2","25-29",FALSE,FALSE
"Female","Healthcare","1","Low","3","Cat_4","D","1","18-25",FALSE,FALSE
